'hood.n.01	(slang) a neighborhood
seek_time.n.01	(computer science) the time it takes for a read/write head to move to a specific data track
seeker.n.01	someone making a search or inquiry
seeking.n.02	an attempt to acquire or gain something
seep.v.01	pass gradually or leak through or as if through small openings
seepage.n.01	the process of seeping
seer.n.02	an observer who perceives visually
seesaw.n.01	a plaything consisting of a board balanced on a fulcrum; the board is ridden up and down by children at either end
seesaw.v.02	move up and down as if on a seesaw
seethe.v.02	be in an agitated emotional state
seethe.v.03	foam as if boiling
segment.n.02	one of the parts into which something naturally divides
segment.v.01	divide into segments
segment.v.02	divide or split up
segregate.n.01	someone who is or has been segregated
segregate.v.01	separate by race or religion; practice a policy of racial segregation
segregation.n.01	(genetics) the separation of paired alleles during meiosis so that members of each pair of alleles appear in different gametes
segregation.n.02	a social system that provides separate facilities for minority groups
segregation.n.03	the act of segregating or sequestering
segregator.n.01	someone who believes the races should be kept apart
seidlitz_powder.n.01	an effervescing salt containing sodium bicarbonate and Rochelle salt and tartaric acid; used as a cathartic
seigneury.n.01	the estate of a seigneur
seigniory.n.02	the position and authority of a feudal lord
seismosaurus.n.01	genus of large herbivorous dinosaurs of Cretaceous found in western North America
seiurus.n.01	ovenbirds and water thrushes
seize.v.01	take hold of; grab
seize.v.02	take or capture by force
seize.v.07	affect
seizure.n.01	a sudden occurrence (or recurrence) of a disease
seizure.n.04	the taking possession of something by legal process
selaginella.n.01	type and sole genus of the Selaginellaceae; evergreen moss-like plants: spike moss and little club moss
selaginellaceae.n.01	lesser club mosses: terrestrial chiefly tropical plants resembling mosses
selaginellales.n.01	in some classifications included in Lycopodiales
selar.n.01	big-eyed scad
select_committee.n.01	a parliamentary committee appointed for some special purpose
selection.n.02	an assortment of things from which a choice can be made
selective-serotonin_reuptake_inhibitor.n.01	an antidepressant drug that acts by blocking the reuptake of serotonin so that more serotonin is available to act on receptors in the brain
selector.n.02	a switch that is used to select among alternatives
selenarctos.n.01	Asiatic black bears; in some classifications not a separate genus from Ursus
selenicereus.n.01	mostly epiphytic climbing cacti that bloom at night
selenipedium.n.01	genus of tall reedlike tropical American orchids; includes species with pods used locally as a substitute for vanilla
selenium.n.01	a toxic nonmetallic element related to sulfur and tellurium; occurs in several allotropic forms; a stable grey metallike allotrope conducts electricity better in the light than in the dark and is used in photocells; occurs in sulfide ores (as pyrite)
self-awareness.n.01	awareness of your own individuality
self-control.n.02	the trait of resolutely controlling your own behavior
self-denial.n.02	the act of denying yourself; controlling your impulses
self-destruct.v.01	do away with oneself or itself
self-discipline.n.01	the trait of practicing self discipline
self-feeder.n.01	a machine that automatically provides a supply of some material
self-fertilization.n.01	fertilization by the union of male and female gametes from the same individual
self-flagellation.n.01	self-punishment inflicted by whipping
self-government.n.01	government of a political unit by its own people
self-heal.n.01	decumbent blue-flowered European perennial thought to possess healing properties; naturalized throughout North America
self-improvement.n.01	the act of improving yourself
self-love.n.02	an exceptional interest in and admiration for yourself
self-propelled_vehicle.n.01	a wheeled vehicle that carries in itself a means of propulsion
self-starter.n.02	an electric starting motor that automatically starts an internal-combustion engine
self.n.02	a person considered as a unique individual
selfish.a.01	concerned chiefly or only with yourself and your advantage to the exclusion of others
selfish_person.n.01	a person who is unusually selfish
selfishness.n.01	stinginess resulting from a concern for your own welfare and a disregard of others
selflessness.n.02	acting with less concern for yourself than for the success of the joint activity
selkirk_mountains.n.01	a range of the Rocky Mountains in southeastern British Columbia
sell-by_date.n.01	a date stamped on perishable produce indicating the date by which it should be sold
sell.n.01	the activity of persuading someone to buy
sell.v.01	exchange or deliver for money or its equivalent
sell.v.02	be sold at a certain price or in a certain way
sell.v.05	give up for a price or reward
sell_out.v.01	get rid of all one's merchandise
sell_out.v.02	give information that compromises others
seller.n.01	someone who promotes or exchanges goods or services for money
sellers.n.01	English comic actor (1925-1980)
selling.n.01	the exchange of goods for an agreed sum of money
selznick.n.01	United States filmmaker noted for his film adaptations of popular novels (1902-1965)
semantic_error.n.01	an error in logic or arithmetic that must be detected at run time
semantic_relation.n.01	a relation between meanings
semantic_role.n.01	(linguistics) the underlying relation that a constituent has with the main verb in a clause
semanticist.n.01	a specialist in the study of meaning
semantics.n.01	the study of language meaning
semarang.n.01	a port city is southern Indonesia; located in northern Java
semblance.n.01	an outward or token appearance or form that is deliberately misleading
semen.n.01	the thick white fluid containing spermatozoa that is ejaculated by the male genital tract
semester.n.01	one of two divisions of an academic year
semi-detached_house.n.01	a dwelling that is attached to something on only one side
semiautomatic_firearm.n.01	an autoloader that fires only one shot at each pull of the trigger
semiautomatic_pistol.n.01	a pistol that is a semiautomatic firearm capable of loading and firing continuously
semicircular_canal.n.01	one of three tube loops filled with fluid and in planes nearly at right angles with one another; concerned with equilibrium
semiconductor.n.01	a substance as germanium or silicon whose electrical conductivity is intermediate between that of a metal and an insulator; its conductivity increases with temperature and in the presence of impurities
semiconductor_device.n.01	a conductor made with semiconducting material
semidarkness.n.01	partial darkness
semifinalist.n.01	one of four competitors remaining in a tournament by elimination
seminal_duct.n.01	the efferent duct of the testis in man
seminarian.n.01	a student at a seminary (especially a Roman Catholic seminary)
seminiferous_tubule.n.01	any of the numerous long convoluted tubules in the testis which are the sites where spermatozoa mature
semiotics.n.01	(philosophy) a philosophical theory of the functions of signs and symbols
semite.n.01	a member of a group of Semitic-speaking peoples of the Middle East and northern Africa
semitic.n.01	a major branch of the Afro-Asiatic language family
semitic_deity.n.01	a deity worshipped by the ancient Semites
semitrailer.n.01	a trailer having wheels only in the rear; the front is supported by the towing vehicle
sempatch.n.01	the Swiss Confederation escaped Hapsburg domination by their victory in 1386
sen.n.01	a fractional monetary unit of Japan and Indonesia and Cambodia; equal to one hundredth of a yen or rupiah or riel
senate.n.01	assembly possessing high legislative powers
senator.n.01	a member of a senate
senatorship.n.01	the office of senator
send.v.01	cause to go somewhere
send.v.02	to cause or order to be taken, directed, or transmitted to another place
send.v.06	transfer
send_around.v.01	forward to others
sender.n.01	someone who transmits a message
